month,candidate_theme,post_count,total_posts,mapped_posts,share_all_posts,share_mapped_posts,three_month_share_all_posts
2022-04-01,Compensation and pay rights,188,3996,826,0.04704704704704705,0.22760290556900725,0.042690851215570806
2022-04-01,Health safety and attendance,114,3996,826,0.028528528528528527,0.13801452784503632,0.028904075832724724
2022-04-01,Recruitment and labor market,87,3996,826,0.02177177177177177,0.1053268765133172,0.02577295243879317
2022-04-01,Scheduling hours and time off,91,3996,826,0.022772772772772773,0.11016949152542373,0.02338515128946514
2022-04-01,Service work and tips,77,3996,826,0.01926926926926927,0.09322033898305085,0.013960404164978554
2022-04-01,Work arrangements and control,68,3996,826,0.01701701701701702,0.08232445520581114,0.016596304910829456
2022-04-01,Workplace authority and interpersonal conflict,43,3996,826,0.010760760760760761,0.05205811138014528,0.011102028061847943
2022-05-01,Career precarity and exit,80,2851,541,0.02806032970887408,0.1478743068391867,0.02830897563268397
2022-05-01,Collective worker power and rights,20,2851,541,0.00701508242721852,0.036968576709796676,0.00790617014032303
2022-05-01,Compensation and pay rights,108,2851,541,0.03788144510698001,0.19963031423290203,0.044852094572434165
2022-05-01,Health safety and attendance,86,2851,541,0.030164854437039635,0.1589648798521257,0.03043531056904972
2022-05-01,Recruitment and labor market,70,2851,541,0.024552788495264818,0.12939001848428835,0.022885688823503513
2022-05-01,Scheduling hours and time off,75,2851,541,0.02630655910206945,0.13863216266173753,0.024867398702461293
2022-05-01,Service work and tips,27,2851,541,0.009470361276745002,0.04990757855822551,0.013597364737127055
2022-05-01,Work arrangements and control,39,2851,541,0.013679410733076113,0.07208872458410351,0.0154312445566599
2022-05-01,Workplace authority and interpersonal conflict,36,2851,541,0.012627148368993335,0.066543438077634,0.011458973372921696
2022-06-01,Career precarity and exit,75,2821,572,0.026586316908897553,0.13111888111888112,0.027936635453857012
2022-06-01,Collective worker power and rights,21,2821,572,0.007444168734491315,0.03671328671328671,0.0066367759164452965
2022-06-01,Compensation and pay rights,140,2821,572,0.04962779156327544,0.24475524475524477,0.04197977553767305
2022-06-01,Health safety and attendance,92,2821,572,0.032612548741581,0.16083916083916083,0.03101029274664842
2022-06-01,Recruitment and labor market,63,2821,572,0.022332506203473945,0.11013986013986014,0.022714831130160127
2022-06-01,Scheduling hours and time off,72,2821,572,0.025522864232541652,0.1258741258741259,0.02436287400878424
2022-06-01,Service work and tips,34,2821,572,0.012052463665366891,0.05944055944055944,0.013170459227092627
2022-06-01,Work arrangements and control,44,2821,572,0.015597305919886565,0.07692307692307693,0.013938064268167535
2022-06-01,Workplace authority and interpersonal conflict,31,2821,572,0.01098901098901099,0.05419580419580419,0.011324401624831277
2022-07-01,Career precarity and exit,107,3669,685,0.0291632597437994,0.1562043795620438,0.027945977418910986
2022-07-01,Collective worker power and rights,20,3669,685,0.005451076587626056,0.029197080291970802,0.006298233305718062
2022-07-01,Compensation and pay rights,141,3669,685,0.038430089942763694,0.20583941605839415,0.041533338013148395
2022-07-01,Health safety and attendance,111,3669,685,0.03025347506132461,0.16204379562043797,0.030863531432165706
2022-07-01,Recruitment and labor market,78,3669,685,0.02125919869174162,0.11386861313868613,0.022075336955799968
2022-07-01,Scheduling hours and time off,78,3669,685,0.02125919869174162,0.11386861313868613,0.024956806176106423
2022-07-01,Service work and tips,66,3669,685,0.017988552739165987,0.09635036496350365,0.01555862259389347
2022-07-01,Work arrangements and control,46,3669,685,0.012537476151539929,0.06715328467153285,0.013105194605574126
2022-07-01,Workplace authority and interpersonal conflict,38,3669,685,0.010357045516489506,0.05547445255474453,0.010478682774808684
2022-08-01,Career precarity and exit,103,3667,693,0.028088355604035997,0.14862914862914864,0.02929195972921565
2022-08-01,Collective worker power and rights,22,3667,693,0.0059994545950368145,0.031746031746031744,0.005779937563439645
2022-08-01,Compensation and pay rights,134,3667,693,0.03654213253340605,0.19336219336219337,0.03742366845266384
2022-08-01,Health safety and attendance,109,3667,693,0.029724570493591493,0.15728715728715728,0.030331642720634905
2022-08-01,Recruitment and labor market,83,3667,693,0.022634305972184347,0.11976911976911978,0.023007035254419505
2022-08-01,Scheduling hours and time off,103,3667,693,0.028088355604035997,0.14862914862914864,0.025872035177508912
2022-08-01,Service work and tips,61,3667,693,0.01663485137714753,0.08802308802308802,0.01585994114438562
2022-08-01,Work arrangements and control,41,3667,693,0.011180801745295883,0.05916305916305916,0.0143188658295041
2022-08-01,Workplace authority and interpersonal conflict,37,3667,693,0.010089991818925552,0.05339105339105339,0.010087502171613943
2022-09-01,Career precarity and exit,78,2547,510,0.030624263839811542,0.15294117647058825,0.02685207308969958
2022-09-01,Collective worker power and rights,15,2547,510,0.005889281507656066,0.029411764705882353,0.00541915202258104
2022-09-01,Compensation and pay rights,95,2547,510,0.03729878288182175,0.18627450980392157,0.0355354383843682
2022-09-01,Health safety and attendance,79,2547,510,0.031016882606988615,0.15490196078431373,0.029858334956637228
2022-09-01,Recruitment and labor market,64,2547,510,0.02512760109933255,0.12549019607843137,0.02349308362992605
2022-09-01,Scheduling hours and time off,72,2547,510,0.028268551236749116,0.1411764705882353,0.027231827546025503
2022-09-01,Service work and tips,33,2547,510,0.012956419316843345,0.06470588235294118,0.013941228865377181
2022-09-01,Work arrangements and control,49,2547,510,0.019238319591676482,0.09607843137254903,0.015090923072714394
2022-09-01,Workplace authority and interpersonal conflict,25,2547,510,0.009815469179426776,0.049019607843137254,0.010712625633497666
2022-10-01,Career precarity and exit,50,2289,401,0.021843599825251202,0.12468827930174564,0.026762103896162934
2022-10-01,Collective worker power and rights,10,2289,401,0.00436871996505024,0.02493765586034913,0.006835634458691268
2022-10-01,Compensation and pay rights,75,2289,401,0.0327653997378768,0.18703241895261846,0.03718261106031598
2022-10-01,Health safety and attendance,66,2289,401,0.028833551769331587,0.16458852867830423,0.02808419392176348
2022-10-01,Recruitment and labor market,52,2289,401,0.022717343818261248,0.12967581047381546,0.02180483034588412
2022-10-01,Scheduling hours and time off,58,2289,401,0.025338575797291395,0.14463840399002495,0.026328453439523183
2022-10-01,Service work and tips,28,2289,401,0.012232415902140673,0.06982543640897755,0.012137941005970107
2022-10-01,Work arrangements and control,34,2289,401,0.014853647881170816,0.08478802992518704,0.015431013722444138
2022-10-01,Workplace authority and interpersonal conflict,28,2289,401,0.012232415902140673,0.06982543640897755,0.010440233696458712
2022-11-01,Career precarity and exit,57,2049,368,0.027818448023426062,0.15489130434782608,0.02651300833385903
2022-11-01,Collective worker power and rights,21,2049,368,0.010248901903367497,0.057065217391304345,0.006337098326379433
2022-11-01,Compensation and pay rights,85,2049,368,0.04148365056124939,0.23097826086956522,0.03646614506163023
2022-11-01,Health safety and attendance,50,2049,368,0.02440214738897023,0.1358695652173913,0.0304868850738569
2022-11-01,Recruitment and labor market,36,2049,368,0.017569546120058566,0.09782608695652174,0.018554915275280595
2022-11-01,Scheduling hours and time off,52,2049,368,0.02537823328452904,0.14130434782608695,0.02701105118193077
2022-11-01,Service work and tips,23,2049,368,0.011224987798926306,0.0625,0.011041161514884072
2022-11-01,Work arrangements and control,25,2049,368,0.012201073694485115,0.06793478260869565,0.012533179013795094
2022-11-01,Workplace authority and interpersonal conflict,19,2049,368,0.009272816007808687,0.051630434782608696,0.012147906828799758
2022-12-01,Career precarity and exit,68,2276,429,0.029876977152899824,0.1585081585081585,0.029193152430169882
2022-12-01,Collective worker power and rights,10,2276,429,0.004393673110720563,0.023310023310023312,0.006367626104904167
2022-12-01,Compensation and pay rights,80,2276,429,0.0351493848857645,0.1864801864801865,0.037587164060690625
2022-12-01,Health safety and attendance,87,2276,429,0.038224956063268895,0.20279720279720279,0.029052923868557855
2022-12-01,Recruitment and labor market,35,2276,429,0.015377855887521968,0.08158508158508158,0.017524245510109362
2022-12-01,Scheduling hours and time off,69,2276,429,0.03031634446397188,0.16083916083916083,0.02748546585074919
2022-12-01,Service work and tips,22,2276,429,0.009666080843585237,0.05128205128205128,0.011870023178190733
